customer_city,total_orders,total_revenue
sao paulo,15044,1367937.2
rio de janeiro,6603,614800.72
belo horizonte,2697,260110.64
brasilia,2071,197801.32
curitiba,1489,142398.84
porto alegre,1341,132849.72
campinas,1406,126599.185
guarulhos,1143,107847.0
salvador,1188,101606.095
sao bernardo do campo,911,83079.16500000001
